periodid,periodname,periodcode,perioddescription,nmcp confirmed malaria cases rdt_central east zone,nmcp confirmed malaria cases rdt_wimbe-hc,nmcp confirmed malaria cases rdt_st andrews ch,nmcp confirmed malaria cases rdt_simlemba-hc,nmcp confirmed malaria cases rdt_santhe-hc,nmcp confirmed malaria cases rdt_ofesi-hc,nmcp confirmed malaria cases rdt_nkhamenya-hosp,nmcp confirmed malaria cases rdt_newa--mpasazi-hc,nmcp confirmed malaria cases rdt_mziza health centre,nmcp confirmed malaria cases rdt_mtunthama-hc,nmcp confirmed malaria cases rdt_mpepa--chisinga-hc,nmcp confirmed malaria cases rdt_mnyanja health centre,nmcp confirmed malaria cases rdt_mkhota-r-growth-hc,nmcp confirmed malaria cases rdt_mdunga hc,nmcp confirmed malaria cases rdt_lodjwa hc,nmcp confirmed malaria cases rdt_livwezi health centre,nmcp confirmed malaria cases rdt_linyangwa-hc,nmcp confirmed malaria cases rdt_khola-hc,nmcp confirmed malaria cases rdt_kawamba-hc,nmcp confirmed malaria cases rdt_kasungu-distr-hosp,nmcp confirmed malaria cases rdt_kasalika-disp,nmcp confirmed malaria cases rdt_kapelula-hc,nmcp confirmed malaria cases rdt_kamboni-hc,nmcp confirmed malaria cases rdt_kaluluma-rh,nmcp confirmed malaria cases rdt_gogode-hc,nmcp confirmed malaria cases rdt_dwangwa-hc,nmcp confirmed malaria cases rdt_chulu-hc,nmcp confirmed malaria cases rdt_chinyama dispensary,nmcp confirmed malaria cases rdt_chamwabvi-disp,nmcp confirmed malaria cases rdt_chamama health facility,nmcp confirmed malaria cases rdt_bua-hc-kasungu,nmcp confirmed malaria cases rdt_anchor farm health centre
201501,15-Jan,201501,,72695,802,83,618,552,155,132,,635,748,306,673,185,317,392,,179,533,,1974,189,944,210,562,909,442,424,,1061,427,1230,
201502,15-Feb,201502,,56630,1194,61,1299,779,708,207,,917,654,920,703,272,1024,489,,347,757,346,2003,643,999,234,817,945,426,455,,374,397,1001,
201503,15-Mar,201503,,87892,1255,64,1196,1285,1145,163,180,1388,630,904,888,443,733,607,,704,919,764,3267,457,1214,473,817,780,452,627,,857,590,1105,
201504,15-Apr,201504,,123920,1580,247,453,1621,429,361,270,1239,1778,1017,1765,694,1046,281,,1501,649,368,7911,,1420,1403,1079,1408,666,1159,,1391,616,2073,
201505,15-May,201505,,105790,1708,223,727,739,1907,337,369,876,1145,989,1294,387,412,228,,1352,509,800,6788,1423,999,940,1290,1020,535,725,,700,619,224,
201506,15-Jun,201506,,87242,607,97,400,720,355,206,253,972,776,359,832,203,518,630,,864,605,800,5673,812,304,880,264,614,313,573,,980,262,224,
201507,15-Jul,201507,,46668,488,115,207,286,194,120,84,369,350,236,200,140,420,420,,481,549,,1023,691,433,372,397,301,201,309,,314,459,511,
201508,15-Aug,201508,,37349,276,68,158,321,107,114,44,236,202,163,126,108,200,290,,275,515,399,1286,441,238,170,269,201,101,162,,185,114,316,
201509,15-Sep,201509,,48599,374,47,129,351,72,55,33,281,198,109,94,114,323,458,,333,416,428,1245,503,351,112,210,232,133,137,,189,138,336,
201510,15-Oct,201510,,56298,358,53,192,341,90,72,36,321,276,113,142,122,468,355,,424,423,523,963,,727,162,304,366,199,125,,950,222,578,
