dataid,dataname,datacode,datadescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,2020
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,lXEN2NtidAc,Anchor Farm Health Centre,1033,,7416.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,T118NxiYoIL,Bua Health Centre (Kasungu),1001,,17258.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,LmCUb5UShy6,Chamama Health Facility,1024,,7877.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,Dl6P4C549hR,Chambwe Health Centre,,,3675.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,nN7JVSObAf7,Chamwabvi Dispensary,1002,,6694.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,dCOqnRxMAXD,Chinyama Dispensary,1034,Chinyama Dispensary,10192.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,n18VsHigwU8,Chulu Health Centre,1003,,24164.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,n89uKexauZq,Dwangwa Health Centre,1004,,13634.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,lcGa2ZnUlen,Fpam Clinic Kasungu,,,
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,HcsIEmls8R2,Gogode Health Centre,1021,,13128.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,RcC6kifTBcF,K2 Taso Clinic,,,432.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,fhlpdEEnGrQ,Kakwale Health Centre,,,7130.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,GcRdYduUYh0,Kalikeni Private Clinic,1025,,
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,BOEaJ4eqVC9,Kaluluma Rural Hospital,1005,,18511.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,cez54P9k6OJ,Kamboni Health Centre,1006,,16984.0
jPEcKbn7jmh,WHO NMCP P Confirmed malaria cases,,Cases confirmed as positive with microscopy and/or RDT,wKP5w5OcIFj,Kamuzu Academy Clinic,,,
